model,bach,bracs,bracs/test,breakhis,crc,gleason_arvaniti,mhist,patch_camelyon,patch_camelyon/test,camelyon16_small,camelyon16_small/test,panda_small,panda_small/test,consep,monusac
paige_virchow2,0.883,0.657,0.62,0.821,0.967,0.783,0.861,0.933,0.938,0.974,0.861,0.689,0.646,0.64,0.669
mahmood_uni2_h,0.915,0.649,0.653,0.859,0.965,0.775,0.824,0.944,0.95,0.973,0.849,0.678,0.657,0.63,0.642
bioptimus_h_optimus_0,0.759,0.653,0.612,0.801,0.955,0.77,0.843,0.932,0.943,0.929,0.827,0.689,0.671,0.644,0.685
kaiko_vitb8,0.866,0.702,0.615,0.832,0.959,0.744,0.829,0.912,0.915,0.866,0.814,0.684,0.64,0.646,0.68
prov_gigapath,0.759,0.693,0.616,0.827,0.951,0.724,0.829,0.935,0.945,0.881,0.815,0.67,0.653,0.626,0.68
mahmood_uni,0.785,0.691,0.604,0.785,0.944,0.75,0.843,0.936,0.937,0.957,0.833,0.691,0.659,0.628,0.659
histai_hibou_l,0.81,0.692,0.64,0.735,0.932,0.764,0.839,0.939,0.955,0.924,0.823,0.661,0.634,0.646,0.669
kaiko_vitl14,0.864,0.684,0.587,0.837,0.938,0.749,0.83,0.914,0.911,0.898,0.816,0.674,0.645,0.635,0.67
kaiko_vitb16,0.835,0.711,0.622,0.811,0.957,0.73,0.837,0.905,0.906,0.897,0.819,0.668,0.632,0.606,0.639
owkin_phikon,0.729,0.655,0.593,0.717,0.94,0.729,0.803,0.916,0.92,0.895,0.798,0.674,0.644,0.627,0.635
kaiko_vits8,0.802,0.687,0.621,0.708,0.952,0.718,0.823,0.894,0.886,0.872,0.804,0.676,0.601,0.637,0.653
owkin_phikon_v2,0.732,0.627,0.606,0.713,0.939,0.757,0.777,0.918,0.894,0.922,0.805,0.664,0.625,0.627,0.644
kaiko_vits16,0.812,0.7,0.623,0.734,0.94,0.698,0.831,0.905,0.902,0.878,0.788,0.667,0.621,0.603,0.635
lunit_vits16,0.783,0.658,0.611,0.742,0.94,0.75,0.781,0.894,0.897,0.846,0.771,0.668,0.61,0.602,0.629
